epoch,step,ce_adv,clean_acc,adv_acc,total_loss,lr,timestamp
4,200,1.5837477368501882,0.7019589552238806,0.3989427860696517,1.5837477368501882,0.010000000000000005,1784207423.7211208
4,300,1.5770890748382012,0.7035402823920266,0.4006955980066445,1.5770890748382012,0.009999999999999933,1784207508.0530443
5,0,1.5598788261413574,0.6875,0.3515625,1.5598788261413574,0.01,1784207577.590175
5,100,1.555107607699857,0.7103960396039604,0.411509900990099,1.555107607699857,0.010000000000000007,1784207662.037347
5,200,1.5505257975402755,0.7136194029850746,0.41103078358208955,1.5505257975402755,0.010000000000000005,1784207746.2618983
5,300,1.5466787066570549,0.714155938538206,0.410921926910299,1.5466787066570549,0.009999999999999933,1784207830.3861854
6,0,1.4223136901855469,0.7265625,0.4609375,1.4223136901855469,0.01,1784207905.9426606
6,100,1.5026785867048962,0.7247060643564357,0.43046101485148514,1.5026785867048962,0.010000000000000007,1784207990.003231
6,200,1.5035783716695226,0.7295553482587065,0.4322527985074627,1.5035783716695226,0.010000000000000005,1784208074.1204095
6,300,1.5060456222870025,0.7287686877076412,0.4301546926910299,1.5060456222870025,0.009999999999999933,1784208158.1951823
7,0,1.4828070402145386,0.7109375,0.421875,1.4828070402145386,0.01,1784208227.377409
7,100,1.484679368462893,0.7404084158415841,0.43889232673267325,1.484679368462893,0.010000000000000007,1784208311.4525115
7,200,1.4820463716687255,0.7400108830845771,0.4378498134328358,1.4820463716687255,0.010000000000000005,1784208395.5327888
7,300,1.482381465031063,0.7389171511627907,0.43742213455149503,1.482381465031063,0.009999999999999933,1784208479.6740162
8,0,1.506535530090332,0.7421875,0.4921875,1.506535530090332,0.01,1784208555.333377
8,100,1.448195189532667,0.7494585396039604,0.4494121287128713,1.448195189532667,0.010000000000000007,1784208639.4269257
8,200,1.455085891989333,0.7469682835820896,0.44620646766169153,1.455085891989333,0.010000000000000005,1784208723.524972
8,300,1.4545527308486228,0.7457433554817275,0.4471812707641196,1.4545527308486228,0.009999999999999933,1784208807.5908167
9,0,1.494889497756958,0.765625,0.40625,1.494889497756958,0.01,1784208876.729664
9,100,1.436111305019643,0.7617574257425742,0.4516553217821782,1.436111305019643,0.010000000000000007,1784208960.833163
9,200,1.4357543988014334,0.7607276119402985,0.4530083955223881,1.4357543988014334,0.010000000000000005,1784209044.897917
9,300,1.434110970988226,0.7576308139534884,0.45263185215946844,1.434110970988226,0.009999999999999933,1784209129.0090926
10,0,1.4107880592346191,0.75,0.453125,1.4107880592346191,0.01,1784209204.6791291
10,100,1.41564946363468,0.7679455445544554,0.46379950495049505,1.41564946363468,0.010000000000000007,1784209288.7736597
10,200,1.4162781885014244,0.7634872512437811,0.4601990049751244,1.4162781885014244,0.010000000000000005,1784209373.0913062
10,300,1.4151779872634482,0.7663257890365448,0.4607298588039867,1.4151779872634482,0.009999999999999933,1784209457.5216064
11,0,1.4813076257705688,0.7734375,0.4296875,1.4813076257705688,0.01,1784209526.9529712
11,100,1.3973222805721925,0.7674814356435643,0.4674350247524752,1.3973222805721925,0.010000000000000007,1784209611.3822863
11,200,1.4006765090410982,0.7671797263681592,0.4704990671641791,1.4006765090410982,0.010000000000000005,1784209695.9201515
11,300,1.397775955770499,0.768609842192691,0.47004775747508304,1.397775955770499,0.009999999999999933,1784209780.4181864
12,0,1.3973276615142822,0.7734375,0.4375,1.3973276615142822,0.01,1784209856.2332106
12,100,1.3728248329445867,0.7775371287128713,0.4745513613861386,1.3728248329445867,0.010000000000000007,1784209940.1578696
12,200,1.3756858359521895,0.7767801616915423,0.4742304104477612,1.3756858359521895,0.010000000000000005,1784210024.2637625
12,300,1.3786322979435968,0.7739566029900332,0.4723577657807309,1.3786322979435968,0.009999999999999933,1784210108.4279795
13,0,1.289313554763794,0.8046875,0.484375,1.289313554763794,0.01,1784210177.6876838
13,100,1.3539395178898725,0.7803217821782178,0.4876237623762376,1.3539395178898725,0.010000000000000007,1784210261.7916765
13,200,1.363038420084104,0.777518656716418,0.4829757462686567,1.363038420084104,0.010000000000000005,1784210345.9814143
13,300,1.364502340852224,0.7781353820598007,0.481234426910299,1.364502340852224,0.009999999999999933,1784210430.2027888
14,0,1.3606204986572266,0.8046875,0.484375,1.3606204986572266,0.01,1784210505.9793992
14,100,1.3568667916968318,0.7807858910891089,0.48514851485148514,1.3568667916968318,0.010000000000000007,1784210590.101133
