epoch,step,ce_adv,residual_loss,align_loss,sae_fvu,sae_dead_frac,clean_acc,adv_acc,total_loss,lr,timestamp
2,300,1.6713206688827058,0.001235353998279824,1.597199959398972e-05,0.1548995130085866,0.9634291943521595,0.6691756644518272,0.36396906146179403,1.6725719933493985,0.009999999999999933,1784312268.0040817
3,0,1.707374095916748,0.0011598895071074367,1.475467888667481e-05,0.15926842391490936,0.965576171875,0.671875,0.3125,1.7085487842559814,0.01,1784312347.2755983
3,100,1.6239219254786426,0.0011446787503151463,1.3994451454900537e-05,0.1563904025767109,0.9640678179146039,0.690362004950495,0.37964108910891087,1.6250806008235064,0.010000000000000007,1784312443.7884102
3,200,1.6173946519396198,0.0011388981287409343,1.3855551628128623e-05,0.157878680682894,0.9639291336287313,0.691425684079602,0.3845226990049751,1.6185474016180086,0.010000000000000005,1784312540.3503854
3,300,1.6116289138001858,0.0011303191343198632,1.3639953683869739e-05,0.1588148258849236,0.964032651578073,0.693547549833887,0.3860568936877076,1.6127728683211875,0.009999999999999933,1784312636.9570367
4,0,1.458085536956787,0.0010989202419295907,1.3095126632833853e-05,0.16378134489059448,0.962890625,0.7421875,0.4609375,1.4591975212097168,0.01,1784312723.7380018
4,100,1.5671229386093593,0.0010936658052580043,1.2490265740636082e-05,0.1658272622245373,0.9634683439047029,0.7052134900990099,0.4041615099009901,1.5682290922297109,0.010000000000000007,1784312820.27575
4,200,1.5718374287904198,0.0010827504056714365,1.2257928637747447e-05,0.16732518241476657,0.9636351931747512,0.705029539800995,0.4010027985074627,1.572932439656993,0.010000000000000005,1784312916.9993424
4,300,1.5658199105943953,0.0010725900883155185,1.1989867481100606e-05,0.1687189632178937,0.9635970917254983,0.7083679401993356,0.4034468438538206,1.5669044901762295,0.009999999999999933,1784313013.6553776
5,0,1.575319766998291,0.0009333892958238721,1.0986695087922271e-05,0.17487144470214844,0.96728515625,0.6953125,0.4453125,1.5762641429901123,0.01,1784313093.254816
5,100,1.541125459246116,0.0010046841453364359,1.0745958098767113e-05,0.1754880698010473,0.9644328202351485,0.7257116336633663,0.41282487623762376,1.5421408886956696,0.010000000000000007,1784313189.7644477
5,200,1.5382353565586147,0.001003483012353362,1.0638996141255238e-05,0.17519324966034486,0.9644016246890548,0.7211598258706468,0.41732742537313433,1.539249480067201,0.010000000000000005,1784313286.3422427
5,300,1.5349269154855976,0.0010018152593978468,1.0611131914254692e-05,0.17556930355653413,0.9643303246989202,0.7210859634551495,0.41764431063122925,1.5359393429518537,0.009999999999999933,1784313382.8717234
6,0,1.525848627090454,0.0009581949561834335,1.0560926966718398e-05,0.17620502412319183,0.962646484375,0.71875,0.3984375,1.5268174409866333,0.01,1784313469.6271696
6,100,1.5164658586577613,0.0009708757665570788,9.783537613053917e-06,0.18279753728668288,0.9644062306621287,0.7276454207920792,0.4249690594059406,1.517446521485206,0.010000000000000007,1784313566.1916497
6,200,1.5104056323938702,0.0009698153650666129,9.645241841293619e-06,0.18368876225023129,0.9645085121268657,0.7310712064676617,0.4249844527363184,1.5113850968394114,0.010000000000000005,1784313662.8678074
6,300,1.5040676482888156,0.0009637620324033785,9.483146160856266e-06,0.184229348387037,0.9642119043293189,0.7321947674418605,0.4283637873754153,1.505040896295313,0.009999999999999933,1784313759.4549117
7,0,1.4486892223358154,0.0009143318166024983,9.012490409077145e-06,0.18062160909175873,0.967041015625,0.71875,0.4453125,1.4496126174926758,0.01,1784313838.924648
7,100,1.4708986317757333,0.0009201382520829908,8.81451248937767e-06,0.18920733477219498,0.9658130607982673,0.7443533415841584,0.4436881188118812,1.4718275837378927,0.010000000000000007,1784313935.530637
7,200,1.4741448507973212,0.0009189219841274864,8.603594122730068e-06,0.19032003541490924,0.9655543085354478,0.7447527985074627,0.44029850746268656,1.4750723755774806,0.010000000000000005,1784314032.1489038
7,300,1.4749188066717003,0.0009150018983604108,8.523696344604938e-06,0.1921284205691759,0.9653904303363787,0.743718853820598,0.4396023671096346,1.4758423329191745,0.009999999999999933,1784314128.8143122
8,0,1.5269430875778198,0.0009146702941507101,7.578475560876541e-06,0.20500093698501587,0.9638671875,0.703125,0.3828125,1.5278654098510742,0.01,1784314215.7287893
