epoch,step,ce_adv,align_loss,sae_recon_loss,sae_fvu,sae_dead_frac,clean_acc,adv_acc,total_loss,lr,timestamp
4,200,1.5752159113907696,1.1343271974361252e-05,0.0001635931277171528,0.019939340234025202,0.985479098647388,0.7021532960199005,0.40006996268656714,1.575227254658789,0.010000000000000005,1784323988.0290968
4,300,1.569208227122741,1.1100600367537476e-05,0.00016273673883124108,0.02018815680001661,0.9854967491175249,0.7059281561461794,0.40248650332225916,1.569219328636347,0.009999999999999933,1784324078.6176455
5,0,1.5933493375778198,1.1080237527494319e-05,0.0001619362155906856,0.02390386164188385,0.9853515625,0.6875,0.4375,1.593360424041748,0.01,1784324153.255045
5,100,1.5436211741796815,1.0393950763293358e-05,0.00015942209718937958,0.02169106260753504,0.9855231861076733,0.723700495049505,0.41545482673267325,1.5436315760754122,0.010000000000000007,1784324243.763818
5,200,1.540763678242318,1.0295166949749071e-05,0.0001584767688741092,0.021554792800278805,0.9855774836753731,0.7189054726368159,0.41826026119402987,1.540773980653108,0.010000000000000005,1784324334.3135
5,300,1.5376544505654774,1.0328711289540203e-05,0.00015799698337295287,0.021531505931007902,0.9856443690303156,0.7192691029900332,0.4177481312292359,1.5376647861296948,0.009999999999999933,1784324424.9259222
6,0,1.5271793603897095,1.0051009667222388e-05,0.0001521728845546022,0.021547896787524223,0.985595703125,0.71875,0.390625,1.5271893739700317,0.01,1784324506.9087462
6,100,1.5192033430137257,9.733234712779684e-06,0.00015528694427420045,0.022665114649156534,0.9856440478032178,0.7269492574257426,0.42311262376237624,1.519213072144159,0.010000000000000007,1784324597.682187
6,200,1.5132545766545766,9.668539172508731e-06,0.00015347548353599282,0.02260231586238045,0.9856600785136815,0.7307602611940298,0.42335199004975127,1.5132642409101646,0.010000000000000005,1784324688.5847864
6,300,1.5066277806545016,9.49567684044066e-06,0.00015281542093899917,0.022689963892052738,0.985640313538206,0.7314939784053156,0.4270660299003322,1.5066372726446766,0.009999999999999933,1784324779.2915688
7,0,1.4535455703735352,8.616716513643041e-06,0.00014948552416171879,0.02281772531569004,0.9853515625,0.71875,0.4453125,1.4535541534423828,0.01,1784324853.840398
7,100,1.4734966093950932,9.028146234755911e-06,0.00014947537038277023,0.023556207279020018,0.9857600750309405,0.7423422029702971,0.44492574257425743,1.4735056374332693,0.010000000000000007,1784324944.4518037
7,200,1.4765420392971134,8.816270603609661e-06,0.00014928859077621047,0.02369916925568189,0.9857341709421642,0.7435090174129353,0.44014303482587064,1.4765508548537296,0.010000000000000005,1784325035.1206515
7,300,1.4772068543291568,8.775010765413658e-06,0.00014860697650076802,0.023844417580635446,0.9857092569040697,0.7425249169435216,0.43968023255813954,1.4772156286873295,0.009999999999999933,1784325125.7677653
8,0,1.5306265354156494,7.863272912800312e-06,0.00014109195035416633,0.0239377673715353,0.985595703125,0.703125,0.375,1.5306344032287598,0.01,1784325207.8039663
