epoch,step,ce_adv,align_loss,clean_acc,adv_acc,total_loss,lr,timestamp
5,200,1.542379841282593,0.00020410580812798193,0.7196828358208955,0.41487873134328357,1.54258394241333,0.010000000000000005,1784228442.3281982
5,300,1.5387821534147295,0.00020069427257620319,0.7199958471760798,0.41489306478405313,1.5389828456200634,0.009999999999999933,1784228526.7513392
6,0,1.4053082466125488,0.00021503627067431808,0.75,0.4609375,1.4055233001708984,0.01,1784228602.758919
6,100,1.4954333435190785,0.00018739918567295565,0.7290377475247525,0.4348700495049505,1.4956207452434125,0.010000000000000007,1784228687.2354772
6,200,1.4977951292967915,0.00018349616016279812,0.7330534825870647,0.4348958333333333,1.4979786250128675,0.010000000000000005,1784228771.7375674
6,300,1.4998104144568458,0.00018015377678130243,0.733155107973422,0.43290593853820597,1.499990568208536,0.009999999999999933,1784228856.301527
7,0,1.4760386943817139,0.00017070170724764466,0.7109375,0.40625,1.4762094020843506,0.01,1784228925.8642013
7,100,1.4780169194287593,0.00017131973457946856,0.7438118811881188,0.4402846534653465,1.4781882361610337,0.010000000000000007,1784229010.4044766
7,200,1.4758746019050257,0.00016929948498582958,0.7433146766169154,0.43956001243781095,1.4760438980747812,0.010000000000000005,1784229094.9520333
7,300,1.4762186667451827,0.00016636035190059794,0.7421355897009967,0.43905730897009965,1.4763850262790819,0.009999999999999933,1784229179.5816767
8,0,1.5054125785827637,0.00016204779967665672,0.734375,0.46875,1.5055745840072632,0.01,1784229255.3879282
8,100,1.4419551627470715,0.00015074822647983467,0.7507735148514851,0.4506497524752475,1.4421059093853035,0.010000000000000007,1784229339.8568895
8,200,1.4488233197387772,0.00015047265872485536,0.7492615049751243,0.4481887437810945,1.4489737909231613,0.010000000000000005,1784229424.3150835
8,300,1.4488919628815002,0.000149799898782926,0.7483129152823921,0.4489721760797342,1.449041763017344,0.009999999999999933,1784229508.7080607
9,0,1.4972906112670898,0.0001476316392654553,0.7578125,0.3984375,1.4974381923675537,0.01,1784229578.1194189
9,100,1.429909598709333,0.00014331466081785038,0.7640006188118812,0.4526608910891089,1.430052914241753,0.010000000000000007,1784229662.4687173
9,200,1.4299293863239573,0.0001405627494683693,0.7624378109452736,0.45359141791044777,1.4300699512756878,0.010000000000000005,1784229746.8624437
9,300,1.4287516987600992,0.00013949508708940378,0.7592400332225914,0.45348837209302323,1.4288911938271254,0.009999999999999933,1784229831.3144405
10,0,1.4018986225128174,0.00012626317038666457,0.75,0.484375,1.4020248651504517,0.01,1784229907.445125
10,100,1.4116498314508117,0.00013241538660379478,0.771194306930693,0.4665068069306931,1.4117822422839628,0.010000000000000007,1784229991.8691626
10,200,1.4118529919961198,0.00013111269919448463,0.765663868159204,0.46420242537313433,1.4119841020498702,0.010000000000000005,1784230076.2659843
10,300,1.4109304311663606,0.00012961669676694277,0.7679609634551495,0.46451931063122925,1.4110600445357668,0.009999999999999933,1784230160.6806107
11,0,1.4684219360351562,0.00013606451102532446,0.7734375,0.4453125,1.4685579538345337,0.01,1784230230.1819046
11,100,1.3936148032103435,0.0001255706304051489,0.7708075495049505,0.46898205445544555,1.3937403671812303,0.010000000000000007,1784230314.6318116
11,200,1.396823024275291,0.00012348931326486856,0.7698227611940298,0.47115982587064675,1.3969465102722396,0.010000000000000005,1784230399.0774052
11,300,1.3937153748895639,0.00012215007256261657,0.7714129983388704,0.4708523671096346,1.3938375228267175,0.009999999999999933,1784230483.523898
12,0,1.3829834461212158,0.00011787088442360982,0.78125,0.4609375,1.3831013441085815,0.01,1784230559.4162421
