epoch,step,ce_clean,trades_kl,clean_acc,adv_acc,total_loss,lr,timestamp
9,200,1.179587262779919,0.045979922924617035,0.6980721393034826,0.5885805348258707,1.4554668042197156,0.010000000000000005,1784219179.6355293
9,300,1.176983065779423,0.04599129257606113,0.6981935215946844,0.5874428986710963,1.4529308235130436,0.009999999999999933,1784219273.7602243
10,0,1.1758267879486084,0.04598342254757881,0.734375,0.53125,1.4517273902893066,0.01,1784219357.8792756
10,100,1.1588961417132084,0.04680691194711345,0.7084622524752475,0.5942141089108911,1.439737616199078,0.010000000000000007,1784219451.9760973
10,200,1.1578341847035423,0.046722612607834946,0.7056514303482587,0.5919620646766169,1.4381698601281465,0.010000000000000005,1784219546.2524643
10,300,1.1550232025475993,0.04669348217324165,0.7080564784053156,0.5939057308970099,1.4351840942008947,0.009999999999999933,1784219640.5688722
11,0,1.1793584823608398,0.04693930223584175,0.671875,0.609375,1.4609942436218262,0.01,1784219718.1375372
11,100,1.1418086892307395,0.04635862412281556,0.7124071782178217,0.5973081683168316,1.4199604362544447,0.010000000000000007,1784219812.3895779
11,200,1.1389582708700379,0.047016780248921905,0.7119092039800995,0.6018345771144279,1.4210589525118396,0.010000000000000005,1784219906.7336485
11,300,1.1357237595656386,0.04709031785593872,0.7129620016611296,0.6037427325581395,1.4182656654883856,0.009999999999999933,1784220001.0576906
12,0,1.1419252157211304,0.044208820909261703,0.65625,0.625,1.4071781635284424,0.01,1784220085.069361
12,100,1.1197991831467884,0.04759164202478853,0.7222308168316832,0.6080600247524752,1.4053490374347952,0.010000000000000007,1784220179.3728192
